| Communications | ALBANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 245,336 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,369,756 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 111 (July 2016 est.) |
| Telephone system: | general assessment: fixed line, teledensity continues to decline due to heavy use of mobile-cellular telephone services; mobile-cellular telephone use is widespread and generally effective; of 3.4 million active mobile telephone users, 1.3 million use mobile broadband services (3G/4G) |
| Telephone system: | domestic: offsetting the shortage of fixed-line capacity, mobile-cellular phone service has been available since 1996; by 2015, four companies were providing mobile services and mobile teledensity had reached 110 per 100 persons; Internet broadband services initiated in 2005, and the penetration rate rose to over 65% by 2016; Internet cafes are popular in major urban areas |
| Telephone system: | international: country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2016) |
| Broadcast media: | Albania has more than 65 TV stations, including several that broadcast nationally; Albanian TV broadcasts are also available to Albanian-speaking populations in neighboring countries; many viewers have access to Italian and Greek TV broadcasts via terrestrial reception; Albania's TV stations have begun a government-mandated conversion from analog to digital broadcast; the government has pledged to provide analog-to-digital converters to low-income families affected by this decision; cable TV service is available; 2 public radio networks and roughly 78 private radio stations; several international broadcasters are available (2017) |
| Internet country code: | .al |
| Internet users: | total: 2,016,516 |
| Internet users: | percent of population: 66.4% (July 2016 est.) |
