| Communications | Austria |
| --- | --- |
| Telephones - main lines in use: | 4 million (consisting of 3,600,000 analog main lines plus 400,000 Integrated Services Digital Network connections); in addition, there are 100,000 Asymmetric Digital Services lines (2001) |
| Telephones - mobile cellular: | 6 million (2001) |
| Telephone system: | general assessment: highly developed and efficient |
| Telephone system: | domestic: there are 48 main lines for every 100 persons; the fiber optic net is very extensive; all telephone applications and Internet services are available |
| Telephone system: | international: satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Eutelsat; in addition, there are about 600 VSAT (very small aperture terminals) (2002) |
| Radio broadcast stations: | AM 2, FM 160 (plus several hundred repeaters), shortwave 1 (2001) |
| Radios: | 6.08 million (1997) |
| Television broadcast stations: | 45 (plus more than 1,000 repeaters) (2001) |
| Televisions: | 4.25 million (1997) |
| Internet country code: | .at |
| Internet Service Providers (ISPs): | 37 (2000) |
| Internet users: | 3.7 million (2002) |
