| Communications | Bahrain |
| --- | --- |
| Telephones - main lines in use: | 228,000 (2010) |
| Telephones - mobile cellular: | 1.567 million (2010) |
| Telephone system: | general assessment: modern system |
| Telephone system: | domestic: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones |
| Telephone system: | international: country code - 973; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and US; tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; satellite earth station - 1 (2007) |
| Broadcast media: | state-run broadcast media; Bahrain Radio and Television Corporation (BRTC) operates 5 terrestrial TV networks; satellite TV systems provide access to international broadcasts; state-run BRTC broadcasts over several radio stations; 1 private FM station directs broadcasts to Indian listeners; radio and TV broadcasts from countries in the region are available (2007) |
| Internet country code: | .bh |
| Internet hosts: | 53,944 (2010) |
| Internet users: | 419,500 (2009) |
