| Communications | BANGLADESH |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 830,800 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 133.72 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 79 (July 2015 est.) |
| Telephone system: | general assessment: inadequate for a modern country; introducing digital systems; trunk systems include VHF and UHF microwave radio relay links, and some fiber-optic cable in cities |
| Telephone system: | domestic: fixed-line teledensity remains only about 1 per 100 persons; mobile-cellular telephone subscribership has been increasing rapidly and now approaches 80 telephones per 100 persons |
| Telephone system: | international: country code - 880; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; satellite earth stations - 6; international radiotelephone communications and landline service to neighboring countries (2015) |
| Broadcast media: | state-owned Bangladesh Television (BTV) operates 1 terrestrial TV station, 3 radio networks, and about 10 local stations; 8 private satellite TV stations and 3 private radio stations also broadcasting; foreign satellite TV stations are gaining audience share in the large cities; several international radio broadcasters are available (2007) |
| Internet country code: | .bd |
| Internet users: | total: 24.33 million |
| Internet users: | percent of population: 14.4% (July 2015 est.) |
