| Communications | BELARUS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,540,678 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 47 (July 2015 est.) |
| Telephones - mobile cellular: | total: 11.448 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (July 2015 est.) |
| Telephone system: | general assessment: Belarus lags behind its neighbors in upgrading telecommunications infrastructure; modernization of the network progressing with roughly two-thirds of switching equipment now digital |
| Telephone system: | domestic: state-owned Beltelcom is the sole provider of fixed-line local and long distance service; fixed-line teledensity is improving although rural areas continue to be underserved; multiple GSM mobile-cellular networks are experiencing rapid growth; mobile-cellular teledensity now approaching 120 telephones per 100 persons |
| Telephone system: | international: country code - 375; Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); 3 fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations (2015) |
| Broadcast media: | 4 state-controlled national TV channels; Polish and Russian TV broadcasts are available in some areas; state-run Belarusian Radio operates 3 national networks and an external service; Russian and Polish radio broadcasts are available (2007) |
| Internet country code: | .by |
| Internet users: | total: 5.968 million |
| Internet users: | percent of population: 62.2% (July 2015 est.) |
