| Communications |
| --- | --- |
| Telephones - main lines in use: | 4.769 million (1997) |
| Telephones - mobile cellular: | 974,494 (1997) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| Telephone system: | domestic: nationwide cellular telephone system; extensive cable network; limited microwave radio relay network |
| Telephone system: | international: 5 submarine cables; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Eutelsat |
| Radio broadcast stations: | FM 79, AM 7, shortwave 1 (1998) |
| Radios: | 8.075 million (1997) |
| Television broadcast stations: | 25 (plus 10 repeaters) (1997) |
| Televisions: | 4.72 million (1997) |
| Internet country code: | .be |
| Internet Service Providers (ISPs): | 61 (2000) |
| Internet users: | 2.7 million (2000) |
