| Communications | Bermuda |
| --- | --- |
| Telephones - main lines in use: | 57,800 (2010) |
| Telephones - mobile cellular: | 88,200 (2010) |
| Telephone system: | general assessment: a good, fully automatic digital telephone system with fiber-optic trunk lines |
| Telephone system: | domestic: the system has a high fixed-line teledensity coupled with a mobile-cellular teledensity of roughly 125 per 100 persons |
| Telephone system: | international: country code - 1-441; landing points for the GlobeNet, Gemini Bermuda, and the Challenger Bermuda-1 (CB-1)submarine cables; satellite earth stations - 3 (2009) |
| Broadcast media: | 3 television stations; cable and satellite TV subscription services are available; roughly 10 radio stations operating (2007) |
| Internet country code: | .bm |
| Internet hosts: | 19,855 (2010) |
| Internet users: | 54,000 (2009) |
