| Communications | BHUTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,081 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (July 2016 est.) |
| Telephones - mobile cellular: | total: 698,373 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 93 (July 2016 est.) |
| Telephone system: | general assessment: urban towns and district headquarters have telecommunications services |
| Telephone system: | domestic: domestic service inadequate, especially in rural areas; mobile-cellular service, begun in 2003, is now widely available; Internet services widely available |
| Telephone system: | international: country code - 975; international telephone and telegraph service via landline and microwave relay through India; satellite earth station - 1 Intelsat (2016) |
| Broadcast media: | state-owned TV station established in 1999; cable TV service offers dozens of Indian and other international channels; first radio station, privately launched in 1973, is now state-owned; 5 private radio stations are currently broadcasting (2012) |
| Internet country code: | .bt |
| Internet users: | total: 313,347 |
| Internet users: | percent of population: 41.8% (July 2016 est.) |
