| Communications | CHAD |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,029 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 5.466 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 47 (July 2015 est.) |
| Telephone system: | general assessment: inadequate system of radiotelephone communication stations with high maintenance costs and low telephone density |
| Telephone system: | domestic: fixed-line connections for less than 1 per 100 persons coupled with mobile-cellular subscribership base of about 45 per 100 persons |
| Telephone system: | international: country code - 235; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 1 state-owned TV station; state-owned radio network, Radiodiffusion Nationale Tchadienne (RNT), operates national and regional stations; about 10 private radio stations; some stations rebroadcast programs from international broadcasters (2007) |
| Internet country code: | .td |
| Internet users: | total: 314,000 |
| Internet users: | percent of population: 2.7% (July 2015 est.) |
