| Communications | Cook Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,305 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37.56 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,308 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 83.05 (2019 est.) |
| Telecommunication systems: | general assessment: demand for mobile broadband is increasing due to mobile services being the primary and most wide-spread source for Internet access across the region; Telecom Cook Islands offers international direct dialing, Internet, email, and fax; individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone (2020) |
| Telecommunication systems: | domestic: service is provided by small exchanges connected to subscribers by open-wire, cable, and fiber-optic cable; 38 per 100 fixed-line, 83 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 682; the Manatua submarine cable to surrounding islands of Niue,Â Samoa,Â French Polynesia and other Cook Islands, theÂ topography of the South Pacific region has made Internet connectivity a seriousÂ issue for many of the remote islands; submarine fiber-optic networks are expensive to build and maintain;Â satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs (2019) |
| Internet country code: | .ck |
| Internet users: | total: 4,881 |
| Internet users: | percent of population: 54% (July 2018 est.) |
