| Communications | ETHIOPIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 890,642 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 42.312 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 43 (July 2015 est.) |
| Telephone system: | general assessment: inadequate telephone system with the Ethio Telecom maintaining a monopoly over telecommunication services; open-wire, microwave radio relay; radio communication in the HF, VHF, and UHF frequencies; 2 domestic satellites provide the national trunk service |
| Telephone system: | domestic: the number of mobile telephones is increasing steadily from a small base and now stands at over 40 per 100 persons |
| Telephone system: | international: country code - 251; open-wire to Sudan and Djibouti; microwave radio relay to Kenya and Djibouti; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Pacific Ocean) (2015) |
| Broadcast media: | 6 public TV stations broadcasting nationally and 10 public radio broadcasters; 7 private radio stations and 18 community radio stations (2015) |
| Internet country code: | .et |
| Internet users: | total: 11.538 million |
| Internet users: | percent of population: 11.6% (July 2015 est.) |
