| Communications | GERMANY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 44.31 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 55 (July 2016 est.) |
| Telephones - mobile cellular: | total: 94,432,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 117 (July 2016 est.) |
| Telephone system: | general assessment: one of the world's most technologically advanced telecommunications systems; as a result of intensive capital expenditures since reunification, the formerly backward system of the eastern part of the country, dating back to World War II, has been modernized and integrated with that of the western part |
| Telephone system: | domestic: extensive system of automatic telephone exchanges connected by modern networks of fiber-optic cable, coaxial cable, microwave radio relay, and a domestic satellite system; cellular telephone service is widely available, expanding rapidly, and includes roaming service to many foreign countries |
| Telephone system: | international: country code - 49; Germany's international service is excellent worldwide, consisting of extensive land and undersea cable facilities as well as earth stations in the Inmarsat, Intelsat, Eutelsat, and Intersputnik satellite systems (2015) |
| Broadcast media: | a mixture of publicly operated and privately owned TV and radio stations; national and regional public broadcasters compete with nearly 400 privately owned national and regional TV stations; more than 90% of households have cable or satellite TV; hundreds of radio stations including multiple national radio networks, regional radio networks, and a large number of local radio stations (2008) |
| Internet country code: | .de |
| Internet users: | total: 72,365,643 |
| Internet users: | percent of population: 89.6% (July 2016 est.) |
