| Communications | Greece |
| --- | --- |
| Telephones - main lines in use: | 6.227 million (2007) |
| Telephones - mobile cellular: | 11.997 million (2007) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands |
| Telephone system: | international: country code - 30; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Europe, Middle East, and Asia; a number of smaller submarine cables provide connectivity to various parts of Europe, the Middle East, and Cyprus; tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) |
| Radio broadcast stations: | AM 26, FM 88, shortwave 4 (1998) |
| Radios: | 5.02 million (1997) |
| Television broadcast stations: | 36 (plus 1,341 repeaters); also 2 stations in the US Armed Forces Radio and Television Service (1995) |
| Televisions: | 2.54 million (1997) |
| Internet country code: | .gr |
| Internet hosts: | 1.626 million (2008) |
| Internet Service Providers (ISPs): | 27 (2000) |
| Internet users: | 2.54 million (2007) |
