| Communications | GREECE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5.22 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 48 (2014 est.) |
| Telephones - mobile cellular: | total: 12.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (2014 est.) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands |
| Telephone system: | international: country code - 30; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Europe, Middle East, and Asia; a number of smaller submarine cables provide connectivity to various parts of Europe, the Middle East, and Cyprus; tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) |
| Broadcast media: | Broadcast media dominated by the private sector; roughly 150 private TV channels, about ten of which broadcast nation-wide; 1 government-owned terrestrial TV channel with national coverage; 3 privately owned satellite channels; multi-channel satellite and cable TV services available; upwards of 1,500 radio stations, all of them privately owned; government-owned broadcaster has 2 national radio stations (2014) |
| Radio broadcast stations: | AM 26, FM 88, shortwave 4 (1998) |
| Television broadcast stations: | 36 (plus 1,341 repeaters); also 2 stations in the American Armed Forces Radio and Television Service (1995) |
| Internet country code: | .gr |
| Internet users: | total: 6.2 million |
| Internet users: | percent of population: 57.9% (2014 est.) |
