| Communications | Haiti |
| --- | --- |
| Telephones - main lines in use: | 108,300 (2009) |
| Telephones - mobile cellular: | 3.648 million (2009) |
| Telephone system: | general assessment: telecommunications infrastructure is among the least developed in Latin America and the Caribbean; domestic facilities barely adequate; international facilities slightly better |
| Telephone system: | domestic: mobile-cellular telephone services are expanding rapidly due, in part, to the introduction of low-cost GSM phones; mobile-cellular teledensity reached 40 per 100 persons in 2009 |
| Telephone system: | international: country code - 509; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | several television stations, including 1 government-owned; cable TV subscription service is available; government-owned radio network; more than 250 private and community radio stations operating with about 50 FM stations in Port-au-Prince alone (2007) |
| Internet country code: | .ht |
| Internet hosts: | 273 (2010) |
| Internet users: | 1 million (2009) |
