| Communications | HUNGARY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,094,228 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (July 2015 est.) |
| Telephones - mobile cellular: | total: 11.786 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (July 2015 est.) |
| Telephone system: | general assessment: modern telephone system is digital and highly automated; trunk services are carried by fiber-optic cable and digital microwave radio relay |
| Telephone system: | domestic: competition among mobile-cellular service providers has led to a sharp increase in the use of mobile-cellular phones since 2000 and a decrease in the number of fixed-line connections |
| Telephone system: | international: country code - 36; Hungary has fiber-optic cable connections with all neighboring countries; the international switch is in Budapest; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean regions), 1 Inmarsat, 1 very small aperture terminal (VSAT) system of ground terminals (2015) |
| Broadcast media: | mixed system of state-supported public service broadcast media and private broadcasters; the 5 publicly owned TV channels and the 2 main privately owned TV stations are the major national broadcasters; a large number of special interest channels; highly developed market for satellite and cable TV services with about two-thirds of viewers utilizing their services; 4 state-supported public-service radio networks and 1 major national commercial station; a large number of local stations including commercial, public service, nonprofit, and community radio stations; digital transition completed at the end of 2013 (2016) |
| Internet country code: | .hu |
| Internet users: | total: 7.209 million |
| Internet users: | percent of population: 72.8% (July 2015 est.) |
