| Communications | Hungary |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,131,598 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 32 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,030,940 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122 (2017 est.) |
| Telephone system: | general assessment: modern telephone system is digital and highly automated; trunk services are carried by fiber-optic cable and digital microwave radio relay; regulator preps for 5G spectrum auction in 2019 (2017) |
| Telephone system: | domestic: competition among mobile-cellular service providers has led to a sharp increase in the use of mobile-cellular phones 122 per 100Â and a decrease in the number of fixed-line connections 32 per 100 persons (2017) |
| Telephone system: | international: country code - 36; Hungary has fiber-optic cable connections with all neighboring countries; the international switch is in Budapest; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean regions), 1 Inmarsat, 1 very small aperture terminal (VSAT) system of ground terminals (2015) |
| Broadcast media: | mixed system of state-supported public service broadcast media and private broadcasters; the 5 publicly owned TV channels and the 2 main privately owned TV stations are the major national broadcasters; a large number of special interest channels; highly developed market for satellite and cable TV services with about two-thirds of viewers utilizing their services; 4 state-supported public-service radio networks; a large number of local stations including commercial, public service, nonprofit, and community radio stations; digital transition completed at the end of 2013; government-linked businesses have greatly consolidated ownership in broadcast and print media (2018) |
| Internet country code: | .hu |
| Internet users: | total: 7,826,695 (July 2016 est.) |
| Internet users: | percent of population: 79.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,956,585 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 30 (2017 est.) |
