| Communications | Indonesia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,172,021 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 458,923,202 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 176 (2017 est.) |
| Telephone system: | general assessment: domestic service includes an interisland microwave system, an HF radio police net, and a domestic satellite communications system; international service good; Indonesia has very low fixed line and fixed broadband penetration, high mobile penetration and moderate mobile broadband penetration (2018) |
| Telephone system: | domestic: fixed-line 4 per 100 and mobile-cellular 175 per 100 persons; coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly (2018) |
| Telephone system: | international: country code - 62; landing points for the SEA-ME-WE-3 & 5, DAMAI, JASUKA,Â BDM,Â Dumai-Melaka Cable System, IGG, JIBA,Â Link 1, 3, 4, Â & 5, PGASCOM, B3J2, Tanjung Pandam-Sungai Kakap Cable System, JAKABARE, JAYABAYA, INDIGO-West, MatrixÂ Cable System, ASC, SJJK, Jaka2LaDeMa, S-U-B Cable System, JBCS, MKCS, BALOK, Palapa Ring East, WestÂ and Middle, SMPCS Packet-1 and 2, LTCS, TSCS, SEA-US and Kamal Domestic Submarine Cable System, 35Â submarine cable networks that provide links throughout Asia, the Middle East,Â Australia, Southeast Asia, AfricaÂ and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2019) |
| Broadcast media: | mixture of about a dozen national TV networks -Â 1 public broadcaster, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks, as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately operated (2019) |
| Internet country code: | .id |
| Internet users: | total: 65,525,226 |
| Internet users: | percent of population: 25.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 6,044,712 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2017 est.) |
