| Communications | Ireland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,854,605 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 36.2 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,398,848 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105.38 (2019 est.) |
| Telecommunication systems: | general assessment: a previous depressed economic climate has changed to one with Ireland having one of the highest GDP growth rates in Europe, which translates to mean spending among telecom consumers; introduction of flat-rate plans;Â upgraded LTE technologies in rural areas; govt. intends to spend millions on the National Broadband Plan (NBP)Â initiative to change the broadband landscape; plans to auction spectrum suitable for 5G services; broadband market seen steady development; 20 towns see commercial 5G services (2020) |
| Telecommunication systems: | domestic: increasing levels of broadband access particularly in urban areas; fixed-line 36 per 100 and mobile-cellular 105 per 100 subscriptions; digital system using cable and microwave radio relay (2019) |
| Telecommunication systems: | international: country code - 353; landing point for theÂ AEConnectÂ -1,Â Celtic-Norse, Havfrue/AEC-2, GTT Express, Celtic, ESAT-1, IFC-1, Solas, Pan European Crossing, ESAT-2, CeltixConnect -1 & 2, GTT Atlantic, Sirius South, Emerald Bridge FibresÂ and Geo EirgridÂ submarine cable with links to the US, Canada, Norway, Isle of Man and UK; satellite earth stations - 81 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | publicly owned broadcaster Radio Telefis Eireann (RTE) operatesÂ 4 TV stations; commercial TV stations are available; about 75% of households utilize multi-channel satellite and TV services that provide access to a wide range of stations; RTE operates 4 national radio stations and has launched digital audio broadcasts on several stations; a number of commercial broadcast stations operate at the national, regional, and local levels (2019) |
| Internet country code: | .ie |
| Internet users: | total: 4,283,516 |
| Internet users: | percent of population: 84.52% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,430,160 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 28 (2018 est.) |
