| Communications | Jersey |
| --- | --- |
| Telephones - main lines in use: | 73,900 (2009) |
| Telephones - mobile cellular: | 83,900 (2004) |
| Telephone system: | general assessment: state-owned, partially-competitive market; increasingly modern, with some broadband access |
| Telephone system: | domestic: digital telephone system launch announced in 2006 and currently being implemented; fixed-line and mobile-cellular services widely available; combined fixed and mobile-cellular density exceeds 100 per 100 persons |
| Telephone system: | international: country code - 44; submarine cable connectivity to Guernsey, the UK, and France (2008) |
| Broadcast media: | multiple UK terrestrial television broadcasts - received via a transmitter in Jersey with relays in Jersey, Guernsey, and Alderney - will begin switching from analog to digital broadcasts in November 2010; satellite packages available; BBC Radio Jersey and 1 other radio station operating (2009) |
| Internet country code: | .je |
| Internet hosts: | 237 (2010) |
| Internet users: | 29,500 (2009) |
