| Communications | Jordan |
| --- | --- |
| Telephones - main lines in use: | 519,000 (2008) |
| Telephones - mobile cellular: | 5.314 million (2008) |
| Telephone system: | general assessment: service has improved recently with increased use of digital switching equipment; microwave radio relay transmission and coaxial and fiber-optic cable are employed on trunk lines; growing mobile-cellular usage in both urban and rural areas is reducing use of fixed-line services; Internet penetration remains modest and slow-growing |
| Telephone system: | domestic: 1995 telecommunications law opened all non-fixed-line services to private competition; in 2005, monopoly over fixed-line services terminated and the entire telecommunications sector was opened to competition; mobile-cellular usage has increased and teledensity reached 85 per 100 persons in 2008 |
| Telephone system: | international: country code - 962; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe; satellite earth stations - 33 (3 Intelsat, 1 Arabsat, and 29 land and maritime Inmarsat terminals); fiber-optic cable to Saudi Arabia and microwave radio relay link with Egypt and Syria; participant in Medarabtel (2008) |
| Radio broadcast stations: | FM 31 (2007) |
| Television broadcast stations: | 22 (2007) |
| Internet country code: | .jo |
| Internet hosts: | 28,896 (2009) |
| Internet users: | 1.5 million (2008) |
