| Communications | JORDAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 380,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2014 est.) |
| Telephones - mobile cellular: | total: 11.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 140 (2014 est.) |
| Telephone system: | general assessment: service has improved recently with increased use of digital switching equipment; microwave radio relay transmission and coaxial and fiber-optic cable are employed on trunk lines; growing mobile-cellular usage in both urban and rural areas is reducing use of fixed-line services |
| Telephone system: | domestic: 1995 telecommunications law opened all non-fixed-line services to private competition; in 2005, monopoly over fixed-line services terminated and the entire telecommunications sector was opened to competition; currently multiple mobile-cellular providers with subscribership reaching 115 per 100 persons in 2011 |
| Telephone system: | international: country code - 962; landing point for the Fiber-Optic Link Around the Globe (FLAG) FEA and FLAG Falcon submarine cable networks; satellite earth stations - 33 (3 Intelsat, 1 Arabsat, and 29 land and maritime Inmarsat terminals); fiber-optic cable to Saudi Arabia and microwave radio relay link with Egypt and Syria; participant in Medarabtel (2011) |
| Broadcast media: | radio and TV dominated by the government-owned Jordan Radio and Television Corporation (JRTV) that operates a main network, a sports network, a film network, and a satellite channel; first independent TV broadcaster aired in 2007; international satellite TV and Israeli and Syrian TV broadcasts are available; roughly 30 radio stations with JRTV operating the main government-owned station; transmissions of multiple international radio broadcasters are available (2007) |
| Radio broadcast stations: | AM 1, FM 28 (2010) |
| Television broadcast stations: | 4 (2009) |
| Internet country code: | .jo |
| Internet users: | total: 3.6 million |
| Internet users: | percent of population: 45.0% (2014 est.) |
