| Communications | Lebanon |
| --- | --- |
| Telephones - main lines in use: | 714,000 (2008) |
| Telephones - mobile cellular: | 1.43 million (2008) |
| Telephone system: | general assessment: repair of the telecommunications system, severely damaged during the civil war, now complete |
| Telephone system: | domestic: two wireless networks provide good service; combined fixed-line and mobile-cellular subscribership exceeds 50 per 100 persons |
| Telephone system: | international: country code - 961; submarine cable links to Cyprus, Egypt, and Syria; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean); coaxial cable to Syria (2008) |
| Radio broadcast stations: | AM 20, FM 32 (plus about a dozen unlicensed stations operating), shortwave 4 (2007) |
| Television broadcast stations: | 15 (plus 5 repeaters) (1995) |
| Internet country code: | .lb |
| Internet hosts: | 45,352 (2009) |
| Internet users: | 2.19 million (2008) |
