| Communications | Libya |
| --- | --- |
| Telephones - main lines in use: | 814,000 (2012) |
| Telephones - mobile cellular: | 9.59 million (2012) |
| Telephone system: | general assessment: telecommunications system is state-owned and service is poor, but investment is being made to upgrade; state retains monopoly in fixed-line services; mobile-cellular telephone system became operational in 1996 |
| Telephone system: | domestic: multiple providers for a mobile telephone system that is growing rapidly; combined fixed-line and mobile-cellular teledensity has soared |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cable to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2010) |
| Broadcast media: | state-funded and private TV stations; some provinces operate local TV stations; pan-Arab satellite TV stations are available; state-funded radio (2012) |
| Internet country code: | .ly |
| Internet hosts: | 17,926 (2012) |
| Internet users: | 353,900 (2009) |
