| Communications | Malaysia |
| --- | --- |
| Telephones - main lines in use: | 4.573 million (2010) |
| Telephones - mobile cellular: | 34.456 million (2010) |
| Telephone system: | general assessment: modern system featuring good intercity service on Peninsular Malaysia provided mainly by microwave radio relay and an adequate intercity microwave radio relay network between Sabah and Sarawak via Brunei; international service excellent |
| Telephone system: | domestic: domestic satellite system with 2 earth stations; combined fixed-line and mobile-cellular teledensity 135 per 100 persons |
| Telephone system: | international: country code - 60; landing point for several major international submarine cable networks that provide connectivity to Asia, Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2008) |
| Broadcast media: | state-owned television broadcaster operates 2 TV networks with relays throughout the country, and the leading private commercial media group operates 4 TV stations with numerous relays throughout the country; satellite TV subscription service is available; state-owned radio broadcaster operates multiple national networks as well as regional and local stations; large number of private commercial radio broadcasters and some subscription satellite radio services are available; about 400 radio stations overall (2008) |
| Internet country code: | .my |
| Internet hosts: | 344,452 (2010) |
| Internet users: | 15.355 million (2009) |
