| Communications | Morocco |
| --- | --- |
| Telephones - main lines in use: | 1.391 million (1998) |
| Telephones - mobile cellular: | 116,645 (1998) |
| Telephone system: | general assessment: modern system with all important capabilities; however density is low with only 4.6 main lines available for each 100 persons |
| Telephone system: | domestic: good system composed of open-wire lines, cables, and microwave radio relay links; Internet available but expensive; principal switching centers are Casablanca and Rabat; national network nearly 100% digital using fiber-optic links; improved rural service employs microwave radio relay |
| Telephone system: | international: 7 submarine cables; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Arabsat; microwave radio relay to Gibraltar, Spain, and Western Sahara; coaxial cable and microwave radio relay to Algeria; participant in Medarabtel; fiber-optic cable link from Agadir to Algeria and Tunisia (1998) |
| Radio broadcast stations: | AM 27, FM 25, shortwave 6 (1998) |
| Radios: | 6.64 million (1997) |
| Television broadcast stations: | 35 (plus 66 repeaters) (1995) |
| Televisions: | 3.1 million (1997) |
| Internet country code: | .ma |
| Internet Service Providers (ISPs): | 8 (2000) |
| Internet users: | 400,000 (2002) |
