| Communications | NAMIBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 180,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (2014 est.) |
| Telephones - mobile cellular: | total: 2.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2014 est.) |
| Telephone system: | general assessment: good system; core fiber-optic network links most centers with digital connections |
| Telephone system: | domestic: multiple mobile-cellular providers with a combined subscribership of more than 100 telephones per 100 persons |
| Telephone system: | international: country code - 264; fiber-optic cable to South Africa, microwave radio relay link to Botswana, direct links to other neighboring countries; connected to the South African Far East (SAFE) submarine cable through South Africa; satellite earth stations - 4 Intelsat (2010) |
| Broadcast media: | 1 private and 1 state-run TV station; satellite and cable TV service available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations; transmissions of multiple international broadcasters available (2007) |
| Radio broadcast stations: | AM 2, FM 39, shortwave 4 (2001) |
| Television broadcast stations: | 2 (2007) |
| Internet country code: | .na |
| Internet users: | total: 325,400 |
| Internet users: | percent of population: 14.8% (2014 est.) |
