| Communications | NEPAL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 840,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 23.2 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 75 (2014 est.) |
| Telephone system: | general assessment: poor telephone and telegraph service; fair radiotelephone communication service and mobile-cellular telephone network |
| Telephone system: | domestic: mobile-cellular telephone subscribership base is increasing with roughly 90% of the population living in areas covered by mobile carriers |
| Telephone system: | international: country code - 977; radiotelephone communications; microwave and fiber landlines to India; satellite earth station - 1 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | state operates 2 TV stations, as well as national and regional radio stations; roughly 30 independent TV channels are registered with only about half in regular operation; nearly 400 FM radio stations are licensed with roughly 300 operational (2007) |
| Radio broadcast stations: | AM 6, FM 80, shortwave 4 (2008) |
| Television broadcast stations: | 9 (plus 9 repeaters) (2008) |
| Internet country code: | .np |
| Internet users: | total: 3.8 million |
| Internet users: | percent of population: 12.1% (2014 est.) |
