| Communications | New Zealand |
| --- | --- |
| Telephones - main lines in use: | 1.87 million (2009) |
| Telephones - mobile cellular: | 4.7 million (2009) |
| Telephone system: | general assessment: excellent domestic and international systems |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 150 per 100 persons |
| Telephone system: | international: country code - 64; the Southern Cross submarine cable system provides links to Australia, Fiji, and the US; satellite earth stations - 8 (1 Inmarsat - Pacific Ocean, 7 other) |
| Broadcast media: | state-owned Television New Zealand operates multiple television networks while state-owned Radio New Zealand operates 3 radio networks and an external shortwave radio service to the South Pacific region; a small number of national commercial television and radio stations and a large number of regional commercial television and radio stations are available; cable and satellite TV systems are accessible (2008) |
| Internet country code: | .nz |
| Internet hosts: | 2.47 million (2010) |
| Internet users: | 3.4 million (2009) |
