| Communications | NEW ZEALAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.85 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2015 est.) |
| Telephones - mobile cellular: | total: 5.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2015 est.) |
| Telephone system: | general assessment: excellent domestic and international systems |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 160 per 100 persons |
| Telephone system: | international: country code - 64; the Southern Cross submarine cable system provides links to Australia, Fiji, and the US; satellite earth stations - 8 (1 Inmarsat - Pacific Ocean, 7 other) (2015) |
| Broadcast media: | state-owned Television New Zealand operates multiple TV networks and state-owned Radio New Zealand operates 3 radio networks and an external shortwave radio service to the South Pacific region; a small number of national commercial TV and radio stations and many regional commercial television and radio stations are available; cable and satellite TV systems are available (2008) |
| Internet country code: | .nz |
| Internet users: | total: 3.916 million |
| Internet users: | percent of population: 88.2% (July 2015 est.) |
