| Communications | NICARAGUA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 354,017 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2015 est.) |
| Telephones - mobile cellular: | total: 7.264 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 123 (July 2015 est.) |
| Telephone system: | general assessment: system being upgraded by foreign investment; nearly all installed telecommunications capacity now uses digital technology, owing to investments since privatization of the formerly state-owned telecommunications company |
| Telephone system: | domestic: since privatization, access to fixed-line and mobile-cellular services has improved; fixed-line teledensity roughly 6 per 100 persons; mobile-cellular telephone subscribership has increased to over 120 per 100 persons |
| Telephone system: | international: country code - 505; the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic submarine cable provides connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 1 Intersputnik (Atlantic Ocean region) and 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | multiple terrestrial TV stations, supplemented by cable TV in most urban areas; nearly all are government-owned or affiliated; more than 300 radio stations, both government-affiliated and privately owned (2016) |
| Internet country code: | .ni |
| Internet users: | total: 1.164 million |
| Internet users: | percent of population: 19.7% (July 2015 est.) |
