| Communications | MACEDONIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 368,070 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (July 2016 est.) |
| Telephones - mobile cellular: | total: 2.223 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (July 2016 est.) |
| Telephone system: | general assessment: competition from the mobile-cellular segment of the telecommunications market has led to a drop in fixed-line telephone subscriptions |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership about 120 per 100 persons |
| Telephone system: | international: country code - 389 (2017) |
| Broadcast media: | public service TV broadcaster Macedonian Radio and Television operates 3 national terrestrial TV channels and 2 satellite TV channels; additionally, there are 5 privately owned TV channels that broadcast nationally using terrestrial transmitters, 4 TV channels with concession for cable TV, 5 satellite TV channels broadcasting on a national level, 47 local commercial TV channels, and a large number of cable operators that offer domestic and international programming; the public radio broadcaster operates over multiple stations; there are 3 privately owned radio stations that broadcast nationally and about 75 local commercial radio stations (2017) |
| Internet country code: | .mk |
| Internet users: | 1.475 million |
| Internet users: | 70.4% (July 2016 est.) |
