| Communications | Oman |
| --- | --- |
| Telephones - main lines in use: | 287,600 (2011) |
| Telephones - mobile cellular: | 4.809 million (2011) |
| Telephone system: | general assessment: modern system consisting of open-wire, microwave, and radiotelephone communication stations; limited coaxial cable; domestic satellite system with 8 earth stations |
| Telephone system: | domestic: fixed-line and mobile-cellular subscribership both increasing with fixed-line phone service gradually being introduced to remote villages using wireless local loop systems |
| Telephone system: | international: country code - 968; the Fiber-Optic Link Around the Globe (FLAG) and the SEA-ME-WE-3 submarine cable provide connectivity to Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Indian Ocean), 1 Arabsat (2008) |
| Broadcast media: | 1 state-run TV broadcaster; TV stations transmitting from Saudi Arabia, the UAE, and Yemen available via satellite TV; state-run radio operates multiple stations; first private radio station began operating in 2007 and 2 additional stations now operating (2007) |
| Internet country code: | .om |
| Internet hosts: | 14,531 (2012) |
| Internet users: | 1.465 million (2009) |
