| Communications | Paraguay |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 309,221 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.35 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,602,566 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106.95 (2019 est.) |
| Telecommunication systems: | general assessment: the fixed-line market is a state monopoly and fixed-line telephone service is meager; principal switching center is in Asuncion; DSL, cable modem, FttP (fiber to the home) and WiMAX technologies available; competition in mobile market among 4 operators; 18 mobile phones for every fixed-line service phone; mobile and Internet market operators bring new investment and working towards LTE (2020) |
| Telecommunication systems: | domestic: deficiencies in provision of fixed-line service have resulted in a rapid expansion of mobile-cellular services fostered by competition among multiple providers; Internet market also open to competition; fixed-line 4 per 100 and mobile-cellular 107 per 100 (2019) |
| Telecommunication systems: | international: country code - 595; Paraguay's landlocked position means they must depend on neighbors for interconnection with submarine cable networks, making it cost more for broadband services; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 6 privately owned TV stations; about 75 commercial and community radio stations; 1 state-owned radio network (2019) |
| Internet country code: | .py |
| Internet users: | total: 4,566,043 |
| Internet users: | percent of population: 64.99% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 320,700 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 5 (2018 est.) |
