| Communications | Puerto Rico |
| --- | --- |
| Telephones - main lines in use: | 891,900 (2010) |
| Telephones - mobile cellular: | 2.934 million (2010) |
| Telephone system: | general assessment: modern system integrated with that of the US by high-capacity submarine cable and Intelsat with high-speed data capability |
| Telephone system: | domestic: digital telephone system; mobile-cellular services |
| Telephone system: | international: country code - 1-787, 939; submarine cables provide connectivity to the US, Caribbean, Central and South America; satellite earth station - 1 Intelsat |
| Broadcast media: | more than 30 television stations operating; cable TV subscription services are available; roughly 125 radio stations operating (2007) |
| Internet country code: | .pr |
| Internet hosts: | 482 (2010) |
| Internet users: | 1 million (2009) |
