| Communications | Serbia |
| --- | --- |
| Telephones - main lines in use: | 2.719 million (2006) |
| Telephones - mobile cellular: | 6.644 million (2006) |
| Telephone system: | general assessment: modernization of the telecommunications network has been slow as a result of damage stemming from the 1999 war and transition to a competitive market-based system; network was only 65% digitalized in 2005 |
| Telephone system: | domestic: teledensity remains below the average for neighboring states; GSM wireless service, available through 2 providers with national coverage, is growing very rapidly; best telecommunications service limited to urban centers |
| Telephone system: | international: country code - 381 |
| Radio broadcast stations: | 153 (station types NA) (2001) |
| Internet country code: | .rs; note - former ccTLD .yu will remain in service until the end of 2006 |
| Internet hosts: | NA |
| Internet users: | 1.4 million (2006) |
