| Communications | SLOVAKIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 866,630 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (July 2015 est.) |
| Telephones - mobile cellular: | total: 6.676 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 123 (July 2015 est.) |
| Telephone system: | general assessment: a modern telecommunications system that has expanded dramatically in recent years with the growth of cellular services |
| Telephone system: | domestic: analog system is now receiving digital equipment and is being enlarged with fiber-optic cable, especially in the larger cities; 3 companies provide nationwide cellular services |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services (2011) |
| Broadcast media: | state-owned public broadcaster, Radio and Television of Slovakia (RTVS), operates 2 national TV stations and multiple national and regional radio networks; roughly 50 privately owned TV stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV; 32 privately owned radio stations (2016) |
| Internet country code: | .sk |
| Internet users: | total: 4.629 million |
| Internet users: | percent of population: 85% (July 2015 est.) |
