| Communications | Slovakia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 673,341 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.37 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,381,164 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135.6 (2019 est.) |
| Telecommunication systems: | general assessment: a modern telecommunications system; near monopoly of fixed-line market; competition in mobile and fixed broadband market;Â broadband growth in recent years; competition among DSL, cable and fiber platforms; FttP growth in cities; mid-2019 launched 1G cable broadband service in 3 cities and 200,000 premises; EU funds development and improvement of e-govt. and online services; regulator prepares groundwork for 5G services (2020) |
| Telecommunication systems: | domestic: four companies have a license to operate cellular networks and provide nationwide cellular services; a few other companies provide services but do not have their own networks; fixed-line 12 per 100 and mobile-cellular 136 per 100 teledensity (2019) |
| Telecommunication systems: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services; connects to DREAM cable (2017) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned public broadcaster, Radio and Television of Slovakia (RTVS), operates 2 national TV stations and multiple national and regional radio networks; roughly 50 privately owned TV stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV; 32 privately owned radio stations |
| Internet country code: | .sk |
| Internet users: | total: 4,391,969 |
| Internet users: | percent of population: 80.66% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,507,998 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 28 (2018 est.) |
