| Communications | Slovenia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 715,283 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34.02 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,540,917 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120.85 (2019 est.) |
| Telecommunication systems: | general assessment: well-developed telecommunications infrastructure;Â four mobile network operators;Â increase in InternetÂ community demanding e-govt., e-commerce and e-health; govt. funds to improve broadband to more municipalities; high mobile penetration rate and therefore retaining customers with bundled products;Â regulatory intervention has improved telecommunications; trials for use of 5G;Â FttP to 90% of population by 2020 (2020) |
| Telecommunication systems: | domestic: fixed-line 34 per 100 and mobile-cellular 121 per 100 teledensity (2019) |
| Telecommunication systems: | international: country code - 386 (2016) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | public TV broadcaster, Radiotelevizija Slovenija (RTV), operates a system of national and regional TV stations; 35 domestic commercial TV stations operating nationally, regionally, and locally; about 60% of households are connected to multi-channel cable TV; public radio broadcaster operates 3 national and 4 regional stations; more than 75 regional and local commercial and non-commercial radio stations |
| Internet country code: | .si |
| Internet users: | total: 1,676,445 |
| Internet users: | percent of population: 79.75% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 612,737 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 29 (2018 est.) |
