| Communications | Spain |
| --- | --- |
| Telephones - main lines in use: | 20.057 million (2009) |
| Telephones - mobile cellular: | 50.991 million (2009) |
| Telephone system: | general assessment: well developed, modern facilities; fixed-line teledensity is roughly 50 per 100 persons |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity is nearly 175 telephones per 100 persons |
| Telephone system: | international: country code - 34; submarine cables provide connectivity to Europe, Middle East, Asia, and US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries |
| Broadcast media: | a mixture of both publicly-operated and privately-owned TV and radio stations broadcasting; overall, hundreds of TV channels are available including national, regional, local, public, and international channels; satellite and cable TV systems are accessible; multiple national radio networks, a large number of regional radio networks, and a larger number of local radio stations broadcasting; overall, hundreds of radio stations operating (2008) |
| Internet country code: | .es |
| Internet hosts: | 3.822 million (2010) |
| Internet users: | 28.119 million (2009) |
