| Communications | Sri Lanka |
| --- | --- |
| Telephones - main lines in use: | 3.523 million (2010) |
| Telephones - mobile cellular: | 15.868 million (2010) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country |
| Telephone system: | domestic: national trunk network consists mostly of digital microwave radio relay; fiber-optic links now in use in Colombo area and fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing |
| Telephone system: | international: country code - 94; the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cables provide connectivity to Asia, Australia, Middle East, Europe, US; satellite earth stations - 2 Intelsat (Indian Ocean) |
| Broadcast media: | government operates 2 television channels and a radio network; multi-channel satellite and cable TV subscription services are obtainable; 8 private TV stations and about a dozen private radio stations in operation (2008) |
| Internet country code: | .lk |
| Internet hosts: | 8,865 (2010) |
| Internet users: | 1.777 million (2009) |
