| Communications | SYRIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.082 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 24 (July 2015 est.) |
| Telephones - mobile cellular: | total: 13.904 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 81 (July 2015 est.) |
| Telephone system: | general assessment: the armed insurgency that began in 2011 has led to major disruptions to the network and has caused telephone and Internet outages throughout the country |
| Telephone system: | domestic: the number of fixed-line connections increased markedly prior to the civil war in 2011; mobile-cellular service stands at about 80 per 100 persons |
| Telephone system: | international: country code - 963; submarine cable connection to Egypt, Lebanon, and Cyprus; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Intersputnik (Atlantic Ocean region); coaxial cable and microwave radio relay to Iraq, Jordan, Lebanon, and Turkey; participant in Medarabtel (2015) |
| Broadcast media: | state-run TV and radio broadcast networks; state operates 2 TV networks and a satellite channel; roughly two-thirds of Syrian homes have a satellite dish providing access to foreign TV broadcasts; 3 state-run radio channels; first private radio station launched in 2005; private radio broadcasters prohibited from transmitting news or political content (2007) |
| Internet country code: | .sy |
| Internet users: | total: 5.116 million |
| Internet users: | percent of population: 30% (July 2015 est.) |
