| Communications | Taiwan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 13,565,064 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 58 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 28,777,408 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122 (2017 est.) |
| Telephone system: | general assessment: good telecommunications infrastructure and competitive mobile market; Taiwan has a stable regulatory system and an educated workforce building on availability of fixed and mobile broadband networks; fixed-line will decline in the next 5 years;Â 5 mobile network operators; 4G LTE and trials onÂ 5G (2018) |
| Telephone system: | domestic: |
| Telephone system: | fixed-lineÂ 48 per 100 and mobile-cellular 124 per 100 |
| Telephone system: | (2018) |
| Telephone system: | international: country code - 886; landing points for the EAC-C2C,Â APCN-2, FASTER, SJC2, TSE-1, TPE, APG, SeaMeWe-3, FLAGÂ North Asia Loop/REACH North Asia Loop, HKA, NCP, and PLCNÂ submarine fiber cables provide links throughout Asia, Australia, the Middle East, Europe, Africa and the US; satellite earth stations - 2 (2019) |
| Broadcast media: | 5 nationwide television networks operating roughlyÂ 22 TV stations; more than 300 satellite TV channels are available; about 60% of households utilize multi-channel cable TV; 99.9% of households subscribe to digital cable TV;Â national and regional radio networks with about 171 radio stations (2019) |
| Internet country code: | .tw |
| Internet users: | total: 20.601 million |
| Internet users: | percent of population: 88% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 5,713,568 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 24 (2017 est.) |
