| Communications | TANZANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 142,819 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 39.666 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (July 2015 est.) |
| Telephone system: | general assessment: telecommunications services are marginal; system operating below capacity and being modernized for better service |
| Telephone system: | domestic: fixed-line telephone network inadequate with less than 1 connection per 100 persons; mobile-cellular service, aided by multiple providers, is increasing rapidly and exceeds 75 telephones per 100 persons; trunk service provided by open-wire, microwave radio relay, tropospheric scatter, and fiber-optic cable; some links being made digital |
| Telephone system: | international: country code - 255; landing point for the EASSy fiber-optic submarine cable system linking East Africa with Europe and North America; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2015) |
| Broadcast media: | a state-owned TV station and multiple privately owned TV stations; state-owned national radio station supplemented by more than 40 privately owned radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .tz |
| Internet users: | total: 2.734 million |
| Internet users: | percent of population: 5.4% (July 2015 est.) |
