| Communications | THAILAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.706 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (July 2016 est.) |
| Telephones - mobile cellular: | total: 116.606 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 171 (July 2016 est.) |
| Telephone system: | general assessment: high quality system, especially in urban areas like Bangkok |
| Telephone system: | domestic: fixed-line system provided by both a government-owned and commercial provider; wireless service expanding rapidly |
| Telephone system: | international: country code - 66; connected to major submarine cable systems providing links throughout Asia, Australia, Middle East, Europe, and US; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2016) |
| Broadcast media: | 26 digital TV stations in Bangkok broadcast nationally, 6 terrestrial TV stations in Bangkok broadcast nationally via relay stations - 2 of the stations are owned by the military, the other 4 are government-owned or controlled, leased to private enterprise, and all are required to broadcast government-produced news programs twice a day; multi-channel satellite and cable TV subscription services are available; radio frequencies have been allotted for more than 500 government and commercial radio stations; many small community radio stations operate with low-power transmitters (2017) |
| Internet country code: | .th |
| Internet users: | total: 32,398,778 |
| Internet users: | percent of population: 47.5% (July 2016 est.) |
