| Communications | TOGO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 52,690 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 4.657 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 62 (July 2015 est.) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 60 telephones per 100 persons with mobile-cellular use predominating |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie (2015) |
| Broadcast media: | 2 state-owned TV stations with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with multiple stations; several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2007) |
| Internet country code: | .tg |
| Internet users: | total: 538,000 |
| Internet users: | percent of population: 7.1% (July 2015 est.) |
