| Communications | TONGA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 13,220 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (July 2015 est.) |
| Telephones - mobile cellular: | total: 70,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 66 (July 2015 est.) |
| Telephone system: | general assessment: competition between Tonga Telecommunications Corporation (TCC) and Digicel Tonga Limited is accelerating expansion of telecommunications; both parties provide high speed Internet, mobile telephone networks, and international telecom services; Digicel also holds a telecommunication license after its acquisition of TonFon (a subsidiary of former Shoreline Communications Tonga); submarine cable infrastructure, managed by Tonga Cable Limited, has also been brought to the country by Asian Development Bank and World Bank aid |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 80 telephones per 100 persons; fully automatic switched network |
| Telephone system: | international: country code - 676; satellite earth station - 1 Intelsat (Pacific Ocean) (2015) |
| Broadcast media: | 1 state-owned TV station and 3 privately owned TV stations; satellite and cable TV services are available; 1 state-owned and 3 privately owned radio stations; Radio Australia broadcasts available via satellite (2015) |
| Internet country code: | .to |
| Internet users: | total: 48,000 |
| Internet users: | percent of population: 45% (July 2015 est.) |
