| Communications | Tuvalu |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,978 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17.59 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,911 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 70.36 (2019 est.) |
| Telecommunication systems: | general assessment: internal communications needs met; small global scale of over 11,000 people on 9 inhabited islands; mobile subscriber penetration about 40% and broadbandÂ about 10% penetration; govt. owned and sole provider of telecommunications services;Â 2G widespread; the launch in 2019 of the Kacific-1 satellite will improve the telecommunication sectorÂ for the Asia Pacific region (2020) |
| Telecommunication systems: | domestic: radiotelephone communications between islands; fixed-line 18 per 100 and mobile-cellular 70 per 100 (2019) |
| Telecommunication systems: | international: country code - 688; international calls can be made by satellite |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | no TV stations; many households use satellite dishes to watch foreign TV stations; 1 government-owned radio station, Radio Tuvalu, includes relays of programming from international broadcasters (2019) |
| Internet country code: | .tv |
| Internet users: | total: 5,498 |
| Internet users: | percent of population: 49.32% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2017 est.) |
