| Communications | YEMEN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.195 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (July 2015 est.) |
| Telephones - mobile cellular: | total: 17.359 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 65 (July 2015 est.) |
| Telephone system: | general assessment: since unification in 1990, efforts have been made to create a national telecommunications network |
| Telephone system: | domestic: the national network consists of microwave radio relay, cable, tropospheric scatter, GSM and CDMA mobile-cellular telephone systems; fixed-line and mobile-cellular teledensity remains low by regional standards |
| Telephone system: | international: country code - 967; landing point for the international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 3 Intelsat (2 Indian Ocean and 1 Atlantic Ocean), 1 Intersputnik (Atlantic Ocean region), and 2 Arabsat; microwave radio relay to Saudi Arabia and Djibouti (2010) |
| Broadcast media: | state-run TV with 2 stations; state-run radio with 2 national radio stations and 5 local stations; stations from Oman and Saudi Arabia can be accessed (2007) |
| Internet country code: | .ye |
| Internet users: | total: 6.711 million |
| Internet users: | percent of population: 25.1% (July 2015 est.) |
