| Communications |
| --- | --- |
| Telephones - main lines in use: | 87,000 (1997) |
| Telephones - mobile cellular: | 3,100 (1999) |
| Telephone system: | general assessment: Albania has the poorest telephone service in Europe with fewer than two telephones per 100 inhabitants; it is doubtful that every village has telephone service |
| Telephone system: | domestic: obsolete wire system; no longer provides a telephone for every village; in 1992, following the fall of the communist government, peasants cut the wire to about 1,000 villages and used it to build fences |
| Telephone system: | international: inadequate; international traffic carried by microwave radio relay from the Tirana exchange to Italy and Greece |
| Radio broadcast stations: | AM 16, FM 3, shortwave 2 (1999) |
| Radios: | 810,000 (1997) |
| Television broadcast stations: | 9 (plus 264 repeaters) (1995) |
| Televisions: | 405,000 (1997) |
| Internet country code: | .al |
| Internet Service Providers (ISPs): | 7 (2000) |
| Internet users: | 2,500 (2000) |
