| Communications | Bosnia and Herzegovina |
| --- | --- |
| Telephones - main lines in use: | 878,000 (2012) |
| Telephones - mobile cellular: | 3.35 million (2012) |
| Telephone system: | general assessment: post-war reconstruction of the telecommunications network, aided by a internationally sponsored program, resulting in sharp increases in the number of fixed telephone lines available |
| Telephone system: | domestic: fixed-line teledensity roughly 25 per 100 persons; mobile-cellular subscribership has been increasing rapidly and, stands at roughly 80 telephones per 100 persons |
| Telephone system: | international: country code - 387; no satellite earth stations (2011) |
| Broadcast media: | 3 public TV broadcasters: Radio and TV of Bosnia and Herzegovina, Federation TV (operating 2 networks), and Republika Srpska Radio-TV; a local commercial network of 5 TV stations; 3 private, near-national TV stations and dozens of small independent TV stations broadcasting; 3 large public radio broadcasters and many private radio stations (2010) |
| Internet country code: | .ba |
| Internet hosts: | 155,252 (2012) |
| Internet users: | 1.422 million (2009) |
