| Communications | Brazil |
| --- | --- |
| Telephones - main lines in use: | 41.141 million (2008) |
| Telephones - mobile cellular: | 150.641 million (2008) |
| Telephone system: | general assessment: good working system; fixed-line connections have remained relatively stable in recent years and stand at about 20 per 100 persons; less expensive mobile cellular technology is a major driver in expanding telephone service to the low-income segment of the population with mobile-cellular telephone density reaching 80 per 100 persons |
| Telephone system: | domestic: extensive microwave radio relay system and a domestic satellite system with 64 earth stations; mobile-cellular usage has more than tripled in the past 5 years |
| Telephone system: | international: country code - 55; landing point for a number of submarine cables, including Atlantis 2, that provide direct links to South and Central America, the Caribbean, the US, Africa, and Europe; satellite earth stations - 3 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic Ocean region east), connected by microwave relay system to Mercosur Brazilsat B3 satellite earth station (2008) |
| Radio broadcast stations: | AM 1,365, FM 296, shortwave 161 (of which 91 are collocated with AM stations) (1999) |
| Television broadcast stations: | 138 (1997) |
| Internet country code: | .br |
| Internet hosts: | 15.929 million (2009) |
| Internet users: | 64.948 million (2008) |
