| Communications | CONGO, DEMOCRATIC REPUBLIC OF THE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 0 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 37.753 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 48 (July 2016 est.) |
| Telephone system: | general assessment: barely adequate wire and microwave radio relay service in and between urban areas; domestic satellite system with 14 earth stations; inadequate fixed-line infrastructure |
| Telephone system: | domestic: fixed-line connections only about 8 per 100 persons; given the backdrop of a wholly inadequate fixed-line infrastructure, the use of mobile-cellular services has surged and mobile teledensity is over 45 per 100 persons |
| Telephone system: | international: country code - 243; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | state-owned TV broadcast station with near national coverage; more than a dozen privately owned TV stations - 2 with near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .cd |
| Internet users: | total: 3.016 million |
| Internet users: | percent of population: 3.8% (July 2016 est.) |
