| Communications | Costa Rica |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 630,386 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.5 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,163,744 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 161.88 (2019 est.) |
| Telecommunication systems: | general assessment: good domestic telephone service in terms of breadth of coverage; in recent years growth has been achieved from liberalization of the telecom sector and has seen substantialÂ expansion in all sectors; Costa Rica's broadband market is the mostÂ advanced in Central America, with the highest broadband penetration for this sub-region; broadband penetration does lag behind many South American countries; with the implementation of number portability there is greaterÂ opportunity for increased competition in the future (2018) |
| Telecommunication systems: | domestic: 13 per 100 fixed-line, 162 per 100 mobile-cellular; point-to-point and point-to-multi-point microwave, fiber-optic, and coaxial cable link rural areas; Internet service is available (2019) |
| Telecommunication systems: | international: country code - 506; landing points for the ARCOS-1, MAYA-1, and theÂ PAC submarine cables that provide links to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | multiple privately owned TV stations and 1 publicly owned TV station; cable network services are widely available; more than 100 privately owned radio stations and a public radio network (2017) |
| Internet country code: | .cr |
| Internet users: | total: 3,694,974 |
| Internet users: | percent of population: 74.09% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 834,784 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2018 est.) |
