| Communications | Croatia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,401,354 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,315,580 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101 (2017 est.) |
| Telephone system: | general assessment: the telecommunications network has improved steadily since the mid-1990s, covering much of what were once inaccessible areas; local lines are digital; telecoms market in Croatia has been shaped by Croatia becoming part of the European Union in 2013, a process whichÂ opened up the marketÂ and the creation of a regulatory environmentÂ leading to competition; mobile market has one of the highest penetration rates in the Balkans region;Â  trials for 5G technologies underway (2018) |
| Telephone system: | domestic: fixed-line teledensity has dropped somewhat to about 33 per 100 persons; mobile-cellular telephone subscriptions 101 per 100 (2018) |
| Telephone system: | international: country code - 385; Â the ADRIA-1 submarine cable provides connectivity to Albania and Greece;Â digital international service is provided through the main switch in Zagreb; Croatia participates in the Trans-Asia-Europe fiber-optic project, which consists of 2 fiber-optic trunk connections with Slovenia and a fiber-optic trunk line from Rijeka to Split and Dubrovnik (2019) |
| Broadcast media: | the national state-owned public broadcaster, Croatian Radiotelevision, operates 4 terrestrial TV networks, a satellite channel that rebroadcasts programs for Croatians living abroad, and 6 regional TV centers; 2 private broadcasters operate national terrestrial networks;Â 29 privately owned regional TV stations; multi-channel cable and satellite TV subscription services are available; state-owned public broadcaster operatesÂ 4 national radio networks andÂ 23 regional radio stations; 2 privately owned national radio networks and 117 localÂ radio stations (2019) |
| Internet country code: | .hr |
| Internet users: | total: 3,135,949 |
| Internet users: | percent of population: 72.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,095,881 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 26 (2017 est.) |
