| Communications | Cyprus |
| --- | --- |
| Telephones - main lines in use: | area under government control: 413,300 (2008); area administered by Turkish Cypriots: 86,228 (2002) |
| Telephones - mobile cellular: | area under government control: 1.017 million (2008); area administered by Turkish Cypriots: 147,522 (2002) |
| Telephone system: | general assessment: excellent in both area under government control and area administered by Turkish Cypriots |
| Telephone system: | domestic: open-wire, fiber-optic cable, and microwave radio relay |
| Telephone system: | international: country code - 357 (area administered by Turkish Cypriots uses the country code of Turkey - 90); a number of submarine cables, including the SEA-ME-WE-3, combine to provide connectivity to Western Europe, the Middle East, and Asia; tropospheric scatter; satellite earth stations - 8 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 2 Eutelsat, 2 Intersputnik, and 1 Arabsat) |
| Radio broadcast stations: | area under government control: AM 5, FM 76, shortwave 0 |
| Radio broadcast stations: | area administered by Turkish Cypriots: AM 1, FM 20, shortwave 1 (2004) |
| Television broadcast stations: | area under government control: 8 |
| Television broadcast stations: | area administered by Turkish Cypriots: 2 (plus 4 relay) (2004) |
| Internet country code: | .cy |
| Internet hosts: | 185,451 (2009) |
| Internet users: | 334,400 (2008) |
