| Communications | CZECHIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,949,800 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (July 2015 est.) |
| Telephones - mobile cellular: | total: 13.925 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 131 (July 2015 est.) |
| Telephone system: | general assessment: good telephone and Internet service; competition among the three major mobile phone services has driven down prices |
| Telephone system: | domestic: access to the fixed-line telephone network expanded throughout the 1990s, but the number of fixed line connections has been dropping since then; mobile telephone usage increased sharply beginning in the mid-1990s, and the number of cellular telephone subscriptions now greatly exceeds the population |
| Telephone system: | international: country code - 420; satellite earth stations - 6 (2 Intersputnik - Atlantic and Indian Ocean regions, 1 Intelsat, 1 Eutelsat, 1 Inmarsat, 1 Globalstar) (2015) |
| Broadcast media: | roughly 130 TV broadcasters operating some 350 channels with 4 publicly operated and the remainder in private hands; 16 TV stations have national coverage with 4 being publicly operated; cable and satellite TV subscription services are available; 63 radio broadcasters are registered operating roughly 80 radio stations with 15 stations publicly operated; 10 radio stations provide national coverage with the remainder local or regional (2008) |
| Internet country code: | .cz |
| Internet users: | total: 8.654 million |
| Internet users: | percent of population: 81.3% (July 2015 est.) |
