| Communications | Georgia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 713,826 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,730,625 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116 (2017 est.) |
| Telephone system: | general assessment: fixed-line telecommunications network has limited coverage outside Tbilisi; multiple mobile-cellular providers provide services to an increasing subscribership throughout the country; broadband subscribers steadily increasing; with the recent investment in infrastructure customers are moving from copper to fibre networks (2017) |
| Telephone system: | domestic: fixed-line 14 per 100, cellular telephone networks cover the entire country; mobile-cellular teledensity roughly 116 per 100 persons; intercity facilities include a fiber-optic line between T'bilisi and K'ut'aisi (2017) |
| Telephone system: | international: country code - 995; the Georgia-Russia fiber-optic submarine cable provides connectivity to Russia; international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service are available (2015) |
| Broadcast media: | Tbilisi-based Georgian Public Broadcaster (GPB) includes Channel 1, Channel 2, as well as the Batumi-based Adjara TV (also a part of GPB); all three are funded from the state budget; there are a number of independent commercial TV stations, including but not limited to Rustavi 2, Imedi, Maestro, Kavkasia, GDS, and TV1; the Georgian Orthodox Church also operates a satellite-based TV station called Unanimity; 26 regional TV broadcasters across Georgia are members of the Georgian Association of Regional Broadcasters (GARB) that seeks to strengthen the regional media's capacities and to distribute regional products; a nationwide digital switchover occurred in 2015; there are several dozen private radio stations; GPB operates 2 radio stations (2016) |
| Internet country code: | .ge |
| Internet users: | total: 2,464,107 (July 2016 est.) |
| Internet users: | percent of population: 50% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 770,113 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 16 (2017 est.) |
