| Communications | Kiribati |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 22 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 51,401 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 46.48 (2019 est.) |
| Telecommunication systems: | general assessment: generally good national and international service; wireline service available on Tarawa and Kiritimati (Christmas Island); connections to outer islands by HF/VHF radiotelephone; recently formed (mobile network operator) MNO is implementing the first phase of improvements with 3G and 4G upgrades on some islands; islands are connected to each other and the rest of the world via satellite; launch of Kacific-1 in December 2019 will improve telecommunication for Kiribati (2020) |
| Telecommunication systems: | domestic: fixed-line 1 per 100 and mobile-cellular 46 per 100 subscriptions (2019) |
| Telecommunication systems: | international: country code - 686; landing point for the Southern Cross NEXT submarine cable system from Australia, 7 Pacific Ocean island countries to the US; satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | multi-channel TV packages provide access to Australian and US stations; 1 government-operated radio station broadcasts on AM, FM, and shortwave (2017) |
| Internet country code: | .ki |
| Internet users: | total: 15,946 |
| Internet users: | percent of population: 14.58% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 884 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 less than 1 (2018 est.) |
