| Communications | Lithuania |
| --- | --- |
| Telephones - main lines in use: | 667,300 (2012) |
| Telephones - mobile cellular: | 5 million (2012) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access |
| Telephone system: | domestic: rapid expansion of mobile-cellular services has resulted in a steady decline in the number of fixed-line connections; mobile-cellular teledensity stands at about 140 per 100 persons |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2010) |
| Broadcast media: | public broadcaster operates 3 channels with the third channel - a satellite channel - introduced in 2007; various privately owned commercial TV broadcasters operate national and multiple regional channels; many privately owned local TV stations; multi-channel cable and satellite TV services available; publicly owned broadcaster operates 3 radio networks; many privately owned commercial broadcasters, many with repeater stations in various regions throughout the country (2007) |
| Internet country code: | .lt |
| Internet hosts: | 1.205 million (2012) |
| Internet users: | 1.964 million (2009) |
