| Communications | LITHUANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 590,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (2014 est.) |
| Telephones - mobile cellular: | total: 4.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 152 (2014 est.) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access |
| Telephone system: | domestic: rapid expansion of mobile-cellular services has resulted in a steady decline in the number of fixed-line connections; mobile-cellular teledensity stands at about 140 per 100 persons |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2010) |
| Broadcast media: | public broadcaster operates 3 channels with the third channel - a satellite channel - introduced in 2007; various privately owned commercial TV broadcasters operate national and multiple regional channels; many privately owned local TV stations; multi-channel cable and satellite TV services available; publicly owned broadcaster operates 3 radio networks; many privately owned commercial broadcasters, with repeater stations in various regions throughout the country (2007) |
| Radio broadcast stations: | AM 29, FM 142, shortwave 1 (2001) |
| Television broadcast stations: | 44 (may have as many as 100 transmitters, including repeater stations) (2008) |
| Internet country code: | .lt |
| Internet users: | total: 2 million |
| Internet users: | percent of population: 70.3% (2014 est.) |
