| Communications | New Caledonia |
| --- | --- |
| Telephones - main lines in use: | 65,900 (2009) |
| Telephones - mobile cellular: | 208,000 (2009) |
| Telephone system: | general assessment: a submarine cable network connection between New Caledonia and Australia, completed in 2007, is expected to significantly increase network capacity and improve high-speed connectivity and access to international networks |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 100 per 100 persons |
| Telephone system: | international: country code - 687; satellite earth station - 1 Intelsat (Pacific Ocean) (2008) |
| Broadcast media: | the publicly-owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Nouvelle Caledonie television and radio stations; a small number of privately-owned radio stations also broadcast (2008) |
| Internet country code: | .nc |
| Internet hosts: | 22,456 (2010) |
| Internet users: | 85,000 (2009) |
