| Communications | Philippines |
| --- | --- |
| Telephones - main lines in use: | 3.633 million (2006) |
| Telephones - mobile cellular: | 42.869 million (2006) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and inter-island service adequate |
| Telephone system: | domestic: domestic satellite system with 11 earth stations; cellular communications now dominate the industry with roughly 10 mobile cellular subscribers for every fixed-line subscriber |
| Telephone system: | international: country code - 63; 11 international gateways; submarine cables to Hong Kong, Guam, Singapore, Taiwan, Japan, Brunei, and Malaysia among others (2006) |
| Radio broadcast stations: | AM 375, FM 596, shortwave 4 (each shortwave station operates on multiple frequencies in the language of the target audience) (2006) |
| Radios: | 11.5 million (1997) |
| Television broadcast stations: | 233 (plus 1,480 CATV networks) (2006) |
| Televisions: | 3.7 million (1997) |
| Internet country code: | .ph |
| Internet hosts: | 271,609 (2007) |
| Internet Service Providers (ISPs): | 33 (2000) |
| Internet users: | 4.615 million (2005) |
