| Communications | QATAR |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 467,148 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,552,579 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 157 (July 2016 est.) |
| Telephone system: | general assessment: modern system centered in Doha |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 175 telephones per 100 persons |
| Telephone system: | international: country code - 974; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and the US; tropospheric scatter to Bahrain; microwave radio relay to Saudi Arabia and the UAE; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Arabsat (2016) |
| Broadcast media: | TV and radio broadcast licensing and access to local media markets are state controlled; home of the satellite TV channel Al-Jazeera, which was originally owned and financed by the Qatari government but has evolved to independent corporate status; Al-Jazeera claims editorial independence in broadcasting; local radio transmissions include state, private, and international broadcasters on FM frequencies in Doha; in August 2013, Qatar's satellite company Es'hailSat launched its first communications satellite Es'hail 1 (manufactured in the US), which entered commercial service in December 2013 to provide improved television broadcasting capability and expand availability of voice and Internet; Es'hailSat expects to launch its second satellite in 2018 (2014) |
| Internet country code: | .qa |
| Internet users: | total: 2,129,360 |
| Internet users: | percent of population: 94.3% (July 2016 est.) |
